customer_id,name,age_group,city,signup_date
38,Səidə Kərimova,35-44,Şəki,2024-04-21
39,Xanım Sadıqova,45-54,Gəncə,2021-02-27
40,Anar Tağıyev,25-34,Şəki,2021-11-29
41,Fərid Babayev,45-54,Gəncə,2023-09-09
42,Ramin Həsənov,18-24,Şəki,2024-02-15
43,Günel Hüseynova,45-54,Bakı,2023-04-07
44,Əli Şirinov,55+,Gəncə,2024-11-14
45,Rəna Orucova,45-54,Gəncə,2025-02-17
46,Şəbnəm Nəsirova,35-44,Bakı,2021-08-05
47,Nərmin Süleymanova,45-54,Bakı,2025-04-14
48,Könül Xəlilova,18-24,Şəki,2023-10-06
49,Mehriban Hüseynova,18-24,Sumqayıt,2023-11-11
50,Aynur Şükürova,18-24,Bakı,2021-06-06
51,Emin Nəsirov,25-34,Bakı,2023-10-19
52,Aygün Novruzova,35-44,Bakı,2024-04-06
53,Zaur Salmanov,35-44,Bakı,2023-08-12
54,Aygün Kərimova,45-54,Şəki,2021-05-19
55,Xanım Rzayeva,18-24,Bakı,2023-05-10
56,Ruhiyyə İsmayılova,35-44,Bakı,2025-03-17
57,Pərvanə Cəfərova,18-24,Gəncə,2024-04-02
58,Xanım Əhmədova,25-34,Bakı,2021-08-14
59,Emin Salmanov,35-44,Bakı,2025-04-26
60,Lalə Xəlilova,55+,Sumqayıt,2025-04-24
61,Kamran Sadıqov,35-44,Sumqayıt,2021-10-06
62,Aygün Babayeva,18-24,Lənkəran,2024-08-08
63,Səbinə Vəliyeva,35-44,Sumqayıt,2022-10-30
64,Sevinc Həsənova,18-24,Gəncə,2023-09-02
65,Səbinə Cəfərova,45-54,Mingəçevir,2023-01-01
66,Aytən Rzayeva,35-44,Şəki,2024-07-09
67,Nurlan Nəbiyev,18-24,Sumqayıt,2025-06-25
68,Vüqar Məmmədov,18-24,Lənkəran,2024-07-29
69,Fərid Vəliyev,18-24,Mingəçevir,2025-03-10
70,Elvin Hüseynov,55+,Şəki,2025-04-03
71,Tural Cəfərov,25-34,Bakı,2021-05-28
72,Pərvanə Kərimova,45-54,Sumqayıt,2022-02-21
73,Nuranə Orucova,35-44,Bakı,2024-03-31
74,Aytən Məmmədova,35-44,Gəncə,2023-08-27
75,Rəşad Rzayev,18-24,Sumqayıt,2021-03-24
76,Lalə Musayeva,55+,Lənkəran,2021-06-06
77,Sevinc Sadıqova,25-34,Lənkəran,2023-05-05
78,Ülviyyə Sadıqova,35-44,Bakı,2023-10-09
79,Rəvan Tağıyev,35-44,Sumqayıt,2021-10-03
80,Ayan Rzayeva,35-44,Sumqayıt,2021-10-09
81,Ülviyyə Əliyeva,55+,Bakı,2021-08-01
82,Rüfət Süleymanov,18-24,Bakı,2023-07-17
83,Fidan Şükürova,25-34,Bakı,2021-01-13
84,Ayan Orucova,25-34,Mingəçevir,2023-07-29
85,Vüsalə Şükürova,25-34,Gəncə,2023-02-21
86,Mələk Əliyeva,18-24,Lənkəran,2023-02-05
87,Vüsalə Novruzova,18-24,Gəncə,2024-01-21
88,Kamran Salmanov,25-34,Lənkəran,2023-05-09
89,Elçin Rzayev,25-34,Bakı,2024-04-09
90,Emin Abbasov,25-34,Mingəçevir,2024-06-08
91,Sənan Sadıqov,35-44,Bakı,2025-02-19
92,Ulduz Hüseynova,35-44,Gəncə,2024-08-05
93,Cavid Kərimov,25-34,Mingəçevir,2023-05-01
94,Rəvan Rəhimov,25-34,Şəki,2023-03-20
95,Leyla Əhmədova,18-24,Mingəçevir,2022-01-23
96,Aygün İsmayılova,35-44,Bakı,2023-09-12
97,Kənan Mahmudov,25-34,Bakı,2021-08-17
98,Aytən Abbasova,18-24,Bakı,2025-03-10
99,Ramin Novruzov,25-34,Bakı,2024-10-19
100,Nurlan Həsənov,25-34,Sumqayıt,2021-07-16
101,Səbinə Rəhimova,25-34,Sumqayıt,2024-07-14
102,Aysel Sadıqova,35-44,Mingəçevir,2021-07-12
103,Aytən Orucova,35-44,Şəki,2024-03-30
104,Cəlal Cəfərov,35-44,Sumqayıt,2021-05-25
105,Səidə Zeynalova,35-44,Mingəçevir,2023-03-13
106,Xanım Quliyeva,35-44,Bakı,2023-12-17
107,Kamran Babayev,25-34,Bakı,2024-04-11
108,Günel Vəliyeva,45-54,Sumqayıt,2022-11-19
109,Ramin Şükürov,35-44,Şəki,2025-02-22
110,Mehriban Rzayeva,25-34,Bakı,2024-06-25
111,Zeynəb Musayeva,35-44,Gəncə,2021-12-08
112,Fuad Hüseynov,25-34,Sumqayıt,2024-01-08
113,Cəlal Zeynalov,25-34,Bakı,2024-04-14
114,Sevinc Tağıyeva,35-44,Bakı,2022-07-02
115,Sevinc Quliyeva,45-54,Şəki,2024-04-27
116,Zaur Zeynalov,55+,Sumqayıt,2025-01-15
117,Aynur Orucova,25-34,Bakı,2024-09-03
118,Ayxan Mahmudov,25-34,Şəki,2024-06-06
119,Vüqar Babayev,45-54,Bakı,2023-11-08
120,Rəna Babayeva,25-34,Şəki,2022-03-21
121,Rəvan Mahmudov,45-54,Bakı,2024-07-29
122,Mələk Rəhimova,25-34,Gəncə,2022-08-22
123,Vüsalə Salmanova,18-24,Bakı,2023-05-24
124,Rəvan Hüseynov,18-24,Bakı,2022-06-01
125,Şəbnəm Cəfərova,45-54,Şəki,2022-05-29
126,Səbinə Əhmədova,18-24,Bakı,2021-09-16
127,Rəna Həsənova,25-34,Bakı,2025-04-28
128,Samir Həsənov,25-34,Bakı,2021-08-31
129,Zeynəb Həsənova,18-24,Sumqayıt,2021-05-22
130,Nuranə Məmmədova,25-34,Mingəçevir,2025-03-18
131,Səbinə Həsənova,35-44,Lənkəran,2023-07-01
132,Türkan Cəfərova,18-24,Bakı,2022-12-21
133,Səbuhi Babayev,45-54,Bakı,2024-04-25
134,Vüsalə Orucova,45-54,Bakı,2022-09-22
135,Rövşən Əhmədov,25-34,Gəncə,2021-07-30
136,Şəbnəm İsmayılova,18-24,Lənkəran,2024-04-13
137,Fidan Rəhimova,35-44,Sumqayıt,2021-10-16
138,Rəvan Babayev,18-24,Gəncə,2023-06-28
139,Aysel Süleymanova,25-34,Bakı,2025-04-08
140,Nicat Hüseynov,55+,Şəki,2025-03-18
141,Orxan Əliyev,55+,Gəncə,2022-08-16
142,Əli Hüseynov,45-54,Bakı,2024-07-05
143,Səbuhi Rzayev,25-34,Bakı,2023-10-04
144,Ramin Zeynalov,35-44,Bakı,2023-02-27
145,Toğrul Xəlilov,35-44,Bakı,2021-08-18
146,Cəlal Quliyev,25-34,Bakı,2022-09-10
147,Ramin Orucov,35-44,Gəncə,2023-12-07
148,Fuad Şirinov,18-24,Sumqayıt,2025-06-09
149,Nigar Quliyeva,18-24,Bakı,2021-01-09
150,Nərmin Babayeva,25-34,Bakı,2024-03-24
